Equipe,QntJogadores,MinJogados90s,GolsFeitsoAuxiliados,TotalChutes,ChutesAGols,PorcChutesAGols,TotalChutes90,TotalAcertos90,GolsPorChutes,GolsPorChutesAGols,DistanciaMediaJogadores,ChutesDeFaltas,Penaltis,PenaltisTentados,GolsEsperados,GolsNormaisPrevistos,GolsNormaisPrevistosPorChutes,GolsMenosGolsPrevistos,GolsNormaisMenosGolsNormaisPrevistso
Ath Paranaense,31,34.0,36,536,166,31.0,15.76,4.88,0.07,0.21,18.6,16,1,2,43.0,41.4,0.08,-7.0,-6.4
Atl Goianiense,40,34.0,23,470,146,31.1,13.82,4.29,0.04,0.14,19.0,10,3,5,36.2,32.2,0.07,-13.2,-12.2
Atlético Mineiro,36,34.0,42,458,133,29.0,13.47,3.91,0.07,0.24,21.8,40,10,11,39.8,31.3,0.07,+2.2,+0.7
Bahia,29,34.0,44,447,155,34.7,13.15,4.56,0.10,0.28,17.8,21,1,1,45.1,44.3,0.10,-1.1,-1.3
Botafogo (RJ),37,34.0,52,512,176,34.4,15.06,5.18,0.09,0.27,18.3,20,4,6,52.0,47.5,0.09,0.0,+0.5
Corinthians,43,34.0,41,475,161,33.9,13.97,4.74,0.08,0.23,19.3,25,4,5,41.5,37.6,0.08,-0.5,-0.6
Criciúma,33,34.0,39,459,151,32.9,13.50,4.44,0.08,0.26,19.5,14,0,0,34.8,34.8,0.08,+4.2,+4.2
Cruzeiro,38,34.0,39,434,143,32.9,12.76,4.21,0.08,0.24,20.0,15,4,5,35.6,31.7,0.07,+3.4,+3.3
Cuiabá,30,34.0,25,347,102,29.4,10.21,3.00,0.06,0.21,19.7,14,4,5,27.9,23.9,0.07,-2.9,-2.9
Flamengo,37,34.0,52,492,175,35.6,14.47,5.15,0.09,0.25,19.1,15,8,10,49.3,41.3,0.09,+2.7,+2.7
Fluminense,38,34.0,28,386,138,35.8,11.35,4.06,0.07,0.20,19.5,13,1,2,32.3,30.7,0.08,-4.3,-3.7
Fortaleza,28,34.0,47,413,130,31.5,12.15,3.82,0.11,0.34,19.1,23,3,4,40.1,36.8,0.09,+6.9,+7.2
Grêmio,38,34.0,39,396,138,34.8,11.65,4.06,0.09,0.26,18.3,22,3,3,39.4,37.0,0.10,-0.4,-1.0
Internacional,37,34.0,46,490,167,34.1,14.41,4.91,0.09,0.26,18.0,12,3,7,52.6,47.0,0.10,-6.6,-4.0
Juventude,36,34.0,42,425,146,34.4,12.50,4.29,0.10,0.29,19.3,19,0,1,38.0,37.2,0.09,+4.0,+4.8
Palmeiras,32,34.0,54,593,190,32.0,17.44,5.59,0.08,0.24,19.6,34,8,9,61.2,54.6,0.09,-7.2,-8.6
Red Bull Bragantino,38,34.0,35,451,144,31.9,13.26,4.24,0.07,0.22,20.2,21,3,3,34.9,32.6,0.07,+0.1,-0.6
São Paulo,36,34.0,47,433,144,33.3,12.74,4.24,0.10,0.31,18.3,8,3,4,38.2,34.9,0.08,+8.8,+9.1
Vasco da Gama,39,34.0,35,391,119,30.4,11.50,3.50,0.09,0.29,18.6,6,1,3,32.6,30.2,0.08,+2.4,+3.8
Vitória,41,34.0,38,390,124,31.8,11.47,3.65,0.08,0.25,19.6,14,7,7,36.9,31.6,0.08,+1.1,-0.6